src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.57.139,74.125.166.6,36140,443,17,2024-04-19 18:27:40,96806177.0,60108.43708867875,45.69956315907403,2.210602738707469,43.48896042036656,214,4210,68404,5750464,1399,71,319.6448598130841,495.4363742987099,1399,69,1365.9059382422802,198.02077481137883,1399,69,1315.2956600361663,315.56137127481117,99578.9790408392,1712,33680,8,214,21886.994573818676,15910519.0,3.0,408587.4650536118,96804113.0,15910519.0,7.0,454479.40375586855,1810180.7315304615,96792844.0,15947719.0,4.0,22996.63673081492,419861.10737996345,0,0,0,0,0,0,0,0,0,0,0,19.672897196261683,1315.2956600361663,0,0,15908899.0,1020.0000000000001,1602470.0169491526,3157247.491015098,15887216.0,5152.0,1302054.5479452056,2901511.838978493,0,0,66229.60975609756,49.21951219512195,0,70858760.74788304215649178659,319.6448598130841,1365.9059382422802,0,214,4210,68404,5750464
192.168.57.139,142.250.189.174,56206,443,6,2024-04-19 18:28:03,102567504.0,2154.7370403007953,4.0558654912768475,1.540448912552264,2.515416578724583,158,258,68674,152332,1514,60,434.6455696202532,477.4002788832869,1514,54,590.4341085271318,662.2837145261318,1514,54,531.2644230769231,603.5791940930162,364307.8435419749,3160,5160,20,158,247150.61204819276,23501428.0,0.0,1530596.5891226833,102567339.0,23501496.0,0.0,653295.152866242,2434628.5847997353,102567419.0,23501512.0,2.0,399095.01556420233,1929592.3239443798,109,75,0,0,0,0,0,184,416,0,0,1.6329113924050633,531.2644230769231,62780,64240,23441139.0,10003.0,2813090.8571428573,4508779.299308717,23500343.0,5856.0,2368386.619047619,4239182.349625529,3798.1666666666665,4.5,24598.5,17.0,17597683.39768339768339768340,4.278E+8,434.6455696202532,590.4341085271318,0,158,258,68674,152332
192.168.57.139,172.217.12.97,49838,443,6,2024-04-19 18:28:07,93386113.0,684.3629951703847,2.2166036614030613,0.8994913408592132,1.317112320543848,84,123,10536,53374,200,60,125.42857142857143,59.099650654491974,1514,54,433.9349593495935,551.3400193237609,1514,54,308.743961352657,452.758327948075,204990.10352633664,1680,2460,20,84,453330.645631068,58273955.0,3.0,4498170.052546054,93386113.0,58274105.0,23.0,1125133.8915662651,7032968.802653208,93343595.0,58274069.0,3.0,765111.4344262296,5824655.216556309,55,56,0,0,0,0,0,111,207,0,0,1.4642857142857142,308.743961352657,62780,64240,58258663.0,3125.0,6633134.571428572,16019019.982098648,58269514.0,5495.0,5464706.705882353,14746106.14573817,1153.6666666666667,8.666666666666666,0,0,223521.0539912167398605011625,0,125.42857142857143,433.9349593495935,0,84,123,10536,53374
192.168.57.139,224.0.0.251,5353,5353,17,2024-04-19 18:27:44,129293749.99999999,28.833566974428386,0.09281191086189396,0.09281191086189396,0.0,12,0,3728,0,769,75,310.6666666666667,324.2335406599522,0,0,0,0.0,769,75,310.6666666666667,324.2335406599522,105127.38888888889,96,0,8,12,11753977.272727273,42031614.0,1000878.0,13015215.230098397,129293750.0,42031614.0,1000877.9999999999,11753977.272727273,13015215.230098397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,310.6666666666667,0,0,22302668.0,2924455.0,12613561.5,9689106.5,38030722.0,43463.0,7473193.0,12172680.555269493,0,0,0,0,0,0,310.6666666666667,0,0,12,0,3728,0
192.168.57.2,224.0.0.251,5353,5353,17,2024-04-19 18:28:03,129668759.0,29.583070198119195,0.03855978910078101,0.03855978910078101,0.0,5,0,3836,0,800,718,767.2,40.171631781644116,0,0,0,0.0,800,718,767.2,40.171631781644116,1613.7599999999998,40,0,8,5,32417189.75,60949750.0,7034854.0,24398272.90991168,129668759.0,60949750.0,7034854.0,32417189.75,24398272.90991168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,767.2,0,0,0,0,0,0,60949750.0,45228836.0,53089293.0,7860457.0,0,0,0,0,0,0,767.2,0,0,5,0,3836,0
192.168.57.139,172.217.12.99,36092,80,6,2024-04-19 18:28:46,93034418.0,28.236861760128384,0.2794664658406312,0.15048194314495522,0.12898452269567592,14,12,1274,1353,480,60,91.0,107.9490620616965,755,54,112.75,193.6487907699572,755,54,101.03846153846153,153.94766362661915,23699.88313609467,280,240,20,13,3721376.72,10243816.0,50.0,4874198.449597517,93034277.0,10244020.0,310.0,7156482.846153846,4594251.056538141,93018990.0,11036962.0,613.0,8456271.818181818,3978510.700501013,1,1,0,0,0,2,0,2,25,0,0,0.8571428571428571,101.03846153846153,64240,64240,0,0,0,0,9952434.0,15428.0,4807124.5,4784223.134425405,0,0,0,0,0,0,91.0,112.75,0,14,12,1274,1353
192.168.57.139,172.217.12.99,36106,80,6,2024-04-19 18:28:46,93034304.0,28.23689636029308,0.2794668082861135,0.15048212753867649,0.128984680747437,14,12,1274,1353,480,60,91.0,107.9490620616965,755,54,112.75,193.6487907699572,755,54,101.03846153846153,153.94766362661915,23699.88313609467,280,240,20,13,3721372.16,10243857.0,67.0,4874386.596781554,93034199.0,10244019.0,197.0,7156476.846153846,4594602.982346819,93018946.0,11039050.0,570.0,8456267.818181818,3979042.288129846,1,1,0,0,0,2,0,2,25,0,0,0.8571428571428571,101.03846153846153,64240,64240,0,0,0,0,9956578.0,15358.0,4807648.75,4785865.79949811,0,0,0,0,0,0,91.0,112.75,0,14,12,1274,1353
192.168.57.139,172.217.12.99,36116,80,6,2024-04-19 18:28:46,93129373.0,28.208071367558762,0.2791815209579474,0.1503285112850486,0.12885300967289878,14,12,1274,1353,480,60,91.0,107.9490620616965,755,54,112.75,193.6487907699572,755,54,101.03846153846153,153.94766362661915,23699.88313609467,280,240,20,13,3725174.92,10240923.0,87.0,4879164.5526650725,93129267.0,10241010.0,680.0,7163789.769230769,4598975.556919843,93113828.0,11132608.0,1471.0,8464893.454545455,3984442.784232362,1,1,0,0,0,2,0,2,25,0,0,0.8571428571428571,101.03846153846153,64240,64240,0,0,0,0,10049795.0,15545.0,4831218.25,4811180.96967893,0,0,0,0,0,0,91.0,112.75,0,14,12,1274,1353
192.168.57.139,172.217.12.99,36118,80,6,2024-04-19 18:28:46,93129414.0,28.208058949023346,0.27918139804895586,0.15032844510328391,0.12885295294567192,14,12,1274,1353,480,60,91.0,107.9490620616965,755,54,112.75,193.6487907699572,755,54,101.03846153846153,153.94766362661915,23699.88313609467,280,240,20,13,3725176.56,10241003.0,106.0,4878714.113084668,93129245.0,10241109.0,1157.0,7163788.076923077,4598166.660214071,93109029.0,11127761.0,1601.0,8464457.181818182,3984136.7711563506,1,1,0,0,0,2,0,2,25,0,0,0.8571428571428571,101.03846153846153,64240,64240,9078990.0,19228.0,4549109.0,4529881.0,10045096.0,20385.0,4834805.25,4805110.842932053,0,0,0,0,0,0,91.0,112.75,0,14,12,1274,1353
192.168.57.139,172.217.12.99,36130,80,6,2024-04-19 18:28:46,93129345.0,28.20807984851606,0.27918160489585747,0.1503285564823848,0.12885304841347267,14,12,1274,1353,480,60,91.0,107.9490620616965,755,54,112.75,193.6487907699572,755,54,101.03846153846153,153.94766362661915,23699.88313609467,280,240,20,13,3725173.8,10240967.0,101.0,4878750.345309487,93129182.0,10241068.0,720.0,7163783.230769231,4598207.669120389,93108992.0,11127821.0,1219.0,8464453.818181818,3984159.979633732,1,1,0,0,0,2,0,2,25,0,0,0.8571428571428571,101.03846153846153,64240,64240,0,0,0,0,10045017.0,20353.0,4830066.0,4809818.858815111,0,0,0,0,0,0,91.0,112.75,0,14,12,1274,1353
