protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,normal
6,101611139.0,2611.042476356849,14.053577334666036,6.534716631805496,7.5188607028605405,664,764,89301,176010,1223,60,134.4894578313253,76.00027669382118,1514,54,230.37958115183247,326.5713682121417,1514,54,185.7920168067227,249.06197583617032,62031.86780741708,13280,15280,20,662,71206.12403644009,6605790.0,0.0,519854.9156679228,101611139.0,6605790.0,0.0,153259.63650075416,755916.3823741877,101594296.0,6606149.0,4.0,133151.10878112714,707117.4236636261,477,271,0,0,0,7,0,748,1426,0,0,1.1506024096385543,185.7920168067227,64240,64240,6592152.0,103.0,1052263.3563218392,1723079.0754272605,6604618.0,5069.0,928802.3904761904,1684063.1668654152,646.4027777777778,6.013888888888889,0.0,0.0,777809.3455444882,0.0,134.4894578313253,230.37958115183247,0,664,764,89301,176010,normal
6,19727.0,9732.85344958686,152.0758351497947,101.38389009986312,50.69194504993156,2,1,134,58,74,60,67.0,7.0,58,58,58.0,0.0,74,58,64.0,7.118052168020874,50.66666666666666,40,20,20,1,9863.5,19587.0,140.0,9723.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,1,0,1,0,0,0.5,64.0,64240,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,58.0,0,2,1,134,58,normal
6,25.0,5120000.0,80000.0,40000.0,40000.0,1,1,74,54,74,74,74.0,0.0,54,54,54.0,0.0,74,54,64.0,10.0,100.0,20,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,1.0,64.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,54.0,0,1,1,74,54,normal
17,24783.0,20740.0234,80.70048017,40.35024008,40.35024008,1,1,89,425,89,89,89.0,0.0,425,425,425.0,0.0,425,89,257.0,168.0,28224.0,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,257.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,425.0,0,1,1,89,425,normal
17,24763.0,9207.285062,80.76565844,40.38282922,40.38282922,1,1,86,142,86,86,86.0,0.0,142,142,142.0,0.0,142,86,114.0,28.0,784.0,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,114.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,142.0,0,1,1,86,142,normal
6,39.0,3282051.282,51282.05128,25641.02564,25641.02564,1,1,74,54,74,74,74.0,0.0,54,54,54.0,0.0,74,54,64.0,10.0,100.0,20,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,1.0,64.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,54.0,0,1,1,74,54,normal
6,34.0,3764705.882,58823.52941,29411.76471,29411.76471,1,1,74,54,74,74,74.0,0.0,54,54,54.0,0.0,74,54,64.0,10.0,100.0,20,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,1.0,64.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,54.0,0,1,1,74,54,normal
6,20128672.0,488.8549031,1.540091666,0.645844892,0.894246774,13,18,1764,8076,716,60,135.6923077,173.307368,1514,54,448.6666667,570.5326946,1514,54,317.4193548,474.8168933,225451.0822,260,360,20,12,670955.7333,19978576.0,3.0,3585344.634,20128595.0,19980549.0,75.0,1677382.917,5518619.559,20108648.0,19978576.0,3.0,1182861.647,4698938.558,6,8,0,0,2,2,0,14,30,0,0,1.384615385,317.4193548,64240,64239,24068.0,10602.0,16406.25,5081.136801,19976854.0,5104.0,3340700.167,7439915.474,0.0,0.0,0.0,0.0,0.0,0.0,135.6923077,448.6666667,0,13,18,1764,8076,normal
6,118058599.0,79.01161016,0.330344425,0.160937028,0.169407397,19,20,2608,6720,720,60,137.2631579,160.5486783,1514,54,336.0,509.2677096,1514,54,239.1794872,394.2422054,155426.9165,380,400,20,18,3106805.237,58176212.0,5.0,12969401.2,118058599.0,58176212.0,492.0,6558811.056,18233465.18,118043259.0,58177056.0,5.0,6212803.105,17808024.83,8,9,0,0,0,2,0,17,38,0,0,1.052631579,239.1794872,64240,64240,58155104.0,3964.0,9943469.167,21566887.22,58145978.0,7315.0,13081097.78,24065549.08,0.0,0.0,0.0,0.0,0.0,0.0,137.2631579,336.0,0,19,20,2608,6720,normal
6,28.0,4571428.571,71428.57143,35714.28571,35714.28571,1,1,74,54,74,74,74.0,0.0,54,54,54.0,0.0,74,54,64.0,10.0,100.0,20,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,1.0,64.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,54.0,0,1,1,74,54,normal
