protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,normal
17,120322030.0,248.66601735359686,1.9530920480646812,0.9807015390282229,0.9723905090364583,118,117,11918,18002,101,101,101.0,0.0,158,148,153.86324786324786,4.381206918962962,158,101,127.31914893617021,26.61155274878229,708.1747397012224,944,936,8,118,514196.7094017094,1030194.0,14535.0,493925.2875918602,120322030.0,1047561.0,1019209.0,1028393.4188034188,4968.922621774735,119295988.0,1095956.0,971671.0,1028413.6896551724,9516.659847082134,0,0,0,0,0,0,0,0,0,0,0,0.9915254237288136,127.31914893617021,0,0,1013349.0,921652.0,987765.4827586206,9062.941308620279,1013933.0,19232.0,979555.9830508474,89596.7843209829,0,0,0,0,0,0,101.0,153.86324786324786,0,118,117,11918,18002,dnscat
6,134602701.0,7.5035641372456565,0.09658052849920151,0.052004899961108506,0.04457562853809301,7,6,569,441,110,60,81.28571428571429,19.25553193770771,93,54,73.5,19.5,110,54,77.6923076923077,19.753810208450403,390.21301775147936,140,120,20,7,11216891.75,59002813.0,103.0,21843915.69201161,134602701.0,59002813.0,11605.0,22433783.5,26508036.31358395,118035213.0,59003263.0,11297.0,23607042.6,28895870.196077485,4,3,0,0,0,0,0,7,13,0,0,0.8571428571428571,77.6923076923077,65535,64240,58985080.0,58978702.0,58981891.0,3189.0,58990852.0,11297.0,33632751.5,26017898.26055393,0,0,0,0,0,0,81.28571428571429,73.5,0,7,6,569,441,normal
17,120210903.0,248.03906514203624,1.9465788390259409,0.9732894195129704,0.9732894195129704,117,117,18000,11817,158,148,153.84615384615384,4.368917768974126,101,101,101.0,0.0,158,101,127.42307692307692,26.603058382803834,707.7227153188693,936,936,8,117,515926.6223175966,1013169.0,14242.0,495141.95008274727,119202447.0,1038899.9999999999,1019868.9999999999,1027607.301724138,3864.3972858779052,119200239.0,1039539.0,1020782.0000000001,1027588.2672413794,4119.425737007524,0,0,0,0,0,0,0,0,0,0,0,1.0,127.42307692307692,0,0,998305.0,977782.0,990282.25,3846.5151780652327,1010664.0,978715.0,990437.5811965812,4016.2363068508494,0,0,0,0,0,0,153.84615384615384,101.0,0,117,117,18000,11817,dnscat
17,37640569.0,6.190129591292842,0.0797012393728692,0.0797012393728692,0.0,3,0,233,0,82,75,77.66666666666667,3.0912061651652345,0,0,0,0.0,82,75,77.66666666666667,3.0912061651652345,9.555555555555555,24,0,8,3,18820284.5,30005559.0,7635010.0,11185274.5,37640569.0,30005559.0,7635010.0,18820284.5,11185274.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.66666666666667,0,0,3,0,233,0,normal
17,149425.0,1204.617701187887,13.384641124309855,6.6923205621549275,6.6923205621549275,1,1,90,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,1,1,90,90,normal
6,110889898.0,133.81741950921443,0.784561998605139,0.3607181602782248,0.42384383832691414,40,47,5428,9411,213,60,135.7,62.84990055680279,1107,54,200.2340425531915,265.3758645382101,1107,54,170.5632183908046,202.2273502171476,40895.90117584886,800,940,20,40,1289417.4186046512,58012145.0,3.0,8349147.839092412,110875154.0,58012145.0,65.0,2842952.6666666665,12218818.721250972,110889757.0,58012453.0,39.0,2410646.8913043477,11297028.53069127,30,16,0,0,0,0,0,46,87,0,0,1.175,170.5632183908046,65535,64240,57999546.0,1011.0,27665385.5,27725046.119995695,57996122.0,7791.0,18457315.666666668,26110886.351495087,686.25,6.5,0,0,489043.2923570283270978086585,0,135.7,200.2340425531915,0,40,47,5428,9411,normal
17,20177.0,18337.7112553898,99.12276354264756,49.56138177132378,49.56138177132378,1,1,89,281,89,89,89.0,0.0,281,281,281.0,0.0,281,89,185.0,96.0,9216.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,281.0,0,1,1,89,281,normal
6,175346.0,4893.18262178778,57.03010048703706,28.51505024351853,28.51505024351853,5,5,395,463,141,60,79.0,31.47062122043351,243,54,92.6,75.21595575408186,243,54,85.8,58.05307916036839,3370.159999999999,100,100,20,4,19482.88888888889,87039.0,118.0,36026.014389124866,175224.0,87508.0,207.0,43806.0,43586.078150024005,88307.0,86723.0,118.0,22076.75,37324.51707909293,1,2,0,0,2,2,0,3,9,0,0,1.0,85.8,64240,64239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,92.6,0,5,5,395,463,normal
17,59506218.0,264.0732435726297,2.01659597993608,1.00829798996804,1.00829798996804,60,60,6209,9505,215,101,103.48333333333333,15.193739573331587,384,148,158.41666666666666,30.03958037138484,384,101,130.95,36.34598785744217,1321.0308333333335,480,480,8,60,500052.2521008403,1016310.0,798.0,489586.87915399816,59485089.0,1045511.0000000001,17009.0,1008221.8474576271,130225.56162443862,58948853.0,1142050.0,15831.000000000002,999133.1016949152,149009.9236023885,0,0,0,0,0,0,0,0,0,0,0,1.0,130.95,0,0,1001023.0,542332.0,979086.1578947369,61744.70363188331,999787.0,557365.0,979588.1551724138,62671.69673008419,0,0,0,0,0,0,103.48333333333333,158.41666666666666,0,60,60,6209,9505,dnscat
17,0.0,0,0,0,0,1,0,105,0,105,105,105.0,0.0,0,0,0,0.0,105,105,105.0,0.0,0.0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,0,0,1,0,105,0,normal
