src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.57.1,192.168.57.2,5353,5353,17,2024-04-15 21:35:41,112735992.0,5.62375855973308,0.07096225311966031,0.07096225311966031,0.0,8,0,634,0,86,75,79.25,4.14578098794425,0,0,0,0.0,86,75,79.25,4.14578098794425,17.1875,64,0,8,8,16105141.714285715,63708613.0,30.0,23470061.23280562,112735992.0,63708613.0,30.0,16105141.714285715,23470061.23280562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,79.25,0,0,0,0,0,0,36006336.0,3556151.0,21236204.333333332,13406574.499430204,0,0,0,0,0,0,79.25,0,0,8,0,634,0
192.168.57.2,224.0.0.251,5353,5353,17,2024-04-15 21:35:41,119414538.0,85.07339365999138,0.10049027698788233,0.10049027698788233,0.0,12,0,10159,0,1110,556,846.5833333333334,170.63433531645643,0,0,0,0.0,1110,556,846.5833333333334,170.63433531645643,29116.076388888887,96,0,8,12,10855867.090909092,43074518.0,17.0,13416150.679794643,119414538.0,43074518.0,17.0,10855867.090909092,13416150.679794643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,846.5833333333334,0,0,26930749.0,545635.0,13738192.0,13192557.0,41010592.0,191376.0,14110180.4,15237282.935049603,0,0,0,0,0,0,846.5833333333334,0,0,12,0,10159,0
192.168.57.139,224.0.0.251,5353,5353,17,2024-04-15 21:35:42,110057527.0,3.4073089794212805,0.04543078639228374,0.04543078639228374,0.0,5,0,375,0,75,75,75.0,0.0,0,0,0,0.0,75,75,75.0,0.0,0.0,40,0,8,5,27514381.75,100556615.0,2697173.0,42172876.769229315,110057527.0,100556615.0,2697173.0,27514381.75,42172876.769229315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0,0,0,0,0,0,97553467.0,3800591.0,50677029.0,46876438.0,0,0,0,0,0,0,75.0,0,0,5,0,375,0
192.168.57.1,224.0.0.251,5353,5353,17,2024-04-15 21:35:44,115360355.0,8.79851661344142,0.09535338201759175,0.09535338201759175,0.0,11,0,1015,0,114,75,92.27272727272727,13.909387994450556,0,0,0,0.0,114,75,92.27272727272727,13.909387994450556,193.47107438016528,88,0,8,11,11536035.5,62257468.0,1337267.0,18793194.025543388,115360355.0,62257468.0,1337267.0,11536035.5,18793194.025543388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.27272727272727,0,0,27328324.0,1470667.0,10448976.0,11943601.33689592,60212923.0,626693.0,18720879.2,23080571.796093356,0,0,0,0,0,0,92.27272727272727,0,0,11,0,1015,0
192.168.57.139,142.250.189.194,36496,443,6,2024-04-15 21:35:54,118651278.0,52.37196012334566,0.2865540141927506,0.1264208886144488,0.1601331255783018,15,19,3562,2652,1301,60,237.46666666666667,353.40380429317526,884,54,139.57894736842104,201.3612401393846,1301,54,182.76470588235293,283.05653756839394,80121.0034602076,300,380,20,14,3595493.272727273,60005852.0,59.0,14136093.92921741,118651278.0,60005852.0,355.0,8475091.285714285,20728503.705484338,118632965.0,60047052.0,71.0,6590720.277777778,18625108.052028824,9,9,0,0,0,2,0,18,33,0,0,1.2666666666666666,182.76470588235293,64240,64240,59985363.0,11166.0,20003430.333333332,28271495.733408526,59964904.0,6028.0,19748888.333333332,27909225.364787403,0,0,652.0,4.0,0,633624.8785228377065111758989,237.46666666666667,139.57894736842104,0,15,19,3562,2652
192.168.57.139,142.251.46.238,44632,443,6,2024-04-15 21:35:55,117865279.0,92.63966532501908,0.4411816647038183,0.21210656956914342,0.2290750951346749,25,27,7769,3150,1514,60,310.76,467.9016375265212,915,54,116.66666666666667,170.57223950247266,1514,54,209.98076923076923,360.2316290295099,129766.82655325445,500,540,20,24,2311083.901960784,59227954.0,0.0,11420414.321726877,117865279.0,59228051.0,0.0,4911053.291666667,16259978.647396415,117844878.0,59228168.0,28.0,4532495.307692308,15683322.027858075,15,9,0,0,0,2,0,24,51,0,0,1.08,209.98076923076923,64240,64240,59215872.0,10304.0,11857341.4,23679265.721635345,59226553.0,11251.0,16819234.14285714,26561620.791519806,3149.0,5.0,0,0,5429310.344827586206896551724,0,310.76,116.66666666666667,0,25,27,7769,3150
192.168.57.139,140.82.114.21,45686,443,6,2024-04-15 21:35:56,117191363.0,81.57597757438832,0.28159071756849524,0.12799578071295237,0.15359493685554285,15,18,3718,5842,1505,60,247.86666666666667,381.0140621493589,1514,54,324.55555555555554,500.10456931217254,1514,54,289.6969696969697,451.51519219035816,203865.96877869606,300,360,20,14,3662230.09375,58415076.0,3.0,14119996.850773482,117191363.0,58415076.0,52.0,8370811.642857143,20403385.176112987,117105587.0,58415583.0,3.0,6888563.94117647,18798849.35855423,8,7,0,0,0,2,0,15,32,0,0,1.2,289.6969696969697,64240,64240,58193698.0,83035.0,14612586.25,25161566.718799096,58326711.0,40619.0,19477570.166666668,27438956.141568918,0,0,0,0,0,0,247.86666666666667,324.55555555555554,0,15,18,3718,5842
192.168.57.139,157.240.22.35,43902,443,6,2024-04-15 21:35:56,116857637.0,80.12313307345073,0.29095231490946544,0.14547615745473272,0.14547615745473272,17,17,4365,4998,1406,60,256.7647058823529,395.268416531433,1434,54,294.0,448.06774697845964,1434,54,275.38235294117646,422.90368912651564,178847.53027681657,340,340,20,16,3541140.515151515,58483095.0,3.0,13916813.084067475,116857637.0,58483095.0,37.0,7303602.3125,19286801.980246093,116836214.0,58483532.0,59.0,7302263.375,19287450.117448073,8,8,0,0,0,2,0,16,33,0,0,1.0,275.38235294117646,64240,64240,58159391.0,16223.000000000002,11649166.6,23255112.91481206,58462632.0,17923.0,19454821.333333332,27475144.381781746,2239.0,4.0,0,0,2039162.112932604735883424408,0,256.7647058823529,294.0,0,17,17,4365,4998
192.168.57.139,44.213.55.237,34284,443,6,2024-04-15 21:35:56,117587724.0,33.70249771991505,0.17008578208385086,0.08504289104192543,0.08504289104192543,10,10,3137,826,1514,60,313.7,451.0490106407506,248,54,82.6,58.041709140927274,1514,54,198.15,341.6999085454955,116758.82749999997,200,200,20,10,6188827.578947368,58841606.0,0.0,17988604.66262398,117587724.0,58841606.0,0.0,13065302.666666666,24357566.118855577,117587259.0,58842011.0,26.0,13065251.0,24357835.51517542,6,3,0,0,0,0,0,9,20,0,0,1.0,198.15,62780,64240,0,0,0,0,58696958.0,18521.0,29297645.25,29225604.97351838,2444.0,4.0,0,0,7361445.783132530120481927711,0,313.7,82.6,0,10,10,3137,826
192.168.57.139,52.46.143.155,48490,443,6,2024-04-15 21:35:56,116574315.0,149.08944564675332,0.49753670008697887,0.24019013107647255,0.2573465690105063,28,30,8337,9043,1514,60,297.75,476.5553951461017,1514,54,301.43333333333334,501.60081627613897,1514,54,299.6551724137931,489.67334473321256,239779.98454221163,560,600,20,27,2045163.4210526317,10241946.0,0.0,4003815.7172761247,116574315.0,10242048.0,0.0,4317567.222222222,4902286.07487838,116489595.0,11023809.0,3.0,4016882.5862068967,4932306.203525225,6,6,0,0,2,2,0,12,57,0,0,1.0714285714285714,299.6551724137931,64240,64239,8940671.0,52741.0,1843749.8,3548477.189844365,9919731.0,23126.0,2432586.875,4062841.4627632974,0,0,4662.0,4.0,0,2.59E+8,297.75,301.43333333333334,0,28,30,8337,9043
