src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.57.1,192.168.57.255,57621,57621,17,2024-03-20 16:06:23,120048842.0,3.5818754503271264,0.041649714538687516,0.041649714538687516,0.0,5,0,430,0,86,86,86.0,0.0,0,0,0,0.0,86,86,86.0,0.0,0.0,40,0,8,5,30012210.5,30047457.0,29999864.0,20353.4483380581,120048842.0,30047457.0,29999864.0,30012210.5,20353.4483380581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,0,0,5,0,430,0
192.168.57.1,224.0.0.251,5353,5353,17,2024-03-20 16:06:43,97349455.0,18.171647699517166,0.12326725403855625,0.12326725403855625,0.0,12,0,1769,0,468,79,147.41666666666666,100.54224512887882,0,0,0,0.0,468,79,147.41666666666666,100.54224512887882,10108.743055555557,96,0,8,12,8849950.454545455,41090603.0,217880.0,12494788.360577093,97349455.0,41090603.0,217880.0,8849950.454545455,12494788.360577093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,147.41666666666666,0,0,39825552.0,3032485.0,21429018.5,18396533.5,34606040.0,784786.0,8739073.375,11055317.861385962,0,0,0,0,0,0,147.41666666666666,0,0,12,0,1769,0
192.168.57.2,224.0.0.251,5353,5353,17,2024-03-20 16:06:44,96243166.0,70.18680162703708,0.14546487383841883,0.14546487383841883,0.0,14,0,6755,0,1099,144,482.5,330.406189409339,0,0,0,0.0,1099,144,482.5,330.406189409339,109168.25,112,0,8,14,7403320.461538462,40868096.0,12.0,11898144.759532876,96243166.0,40868096.0,12.0,7403320.461538462,11898144.759532876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,482.5,0,0,40621758.0,2968437.0,21795097.5,18826660.5,36311052.0,465289.0,10089585.857142856,12158504.25199489,0,0,0,0,0,0,482.5,0,0,14,0,6755,0
192.168.57.138,192.168.57.2,137,137,17,2024-03-20 16:06:34,120016406.0,9.165413601870398,0.08332194183518543,0.08332194183518543,0.0,10,0,1100,0,110,110,110.0,0.0,0,0,0,0.0,110,110,110.0,0.0,0.0,80,0,8,10,13335156.222222222,107953728.0,1500056.0,33452717.57861556,120016406.0,107953728.0,1500056.0,13335156.222222222,33452717.57861556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,110.0,0,0,15232.0,14896.0,15064.0,168.0,106438936.0,14154.0,21596771.2,42424988.312294304,0,0,0,0,0,0,110.0,0,0,10,0,1100,0
192.168.57.1,192.168.57.2,5353,5353,17,2024-03-20 16:06:39,110814591.0,10.233309438465554,0.12633715356130315,0.12633715356130315,0.0,14,0,1134,0,99,75,81.0,6.164414002968976,0,0,0,0.0,99,75,81.0,6.164414002968976,38.0,112,0,8,14,8524199.307692308,46478487.0,1.0,15420606.709011057,110814591.0,46478487.0,1.0,8524199.307692308,15420606.709011057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,81.0,0,0,44243323.0,38613363.0,41428343.0,2814980.0,41962709.0,1144195.0,17247209.0,16809624.95008577,149.0,4.0,0,0,3.725E+6,0,81.0,0,0,14,0,1134,0
24.144.84.186,192.168.57.138,5122,59616,6,2024-03-20 16:06:45,106529953.0,93.11935019815506,0.37548125079901234,0.18774062539950617,0.18774062539950617,20,20,2184,7736,214,54,109.2,68.53437093896754,1514,54,386.8,495.9735476817287,1514,54,248.0,380.2746375976184,144608.8,400,400,20,8,2731537.2564102565,60159737.0,0.0,11113262.101108922,106529953.0,60159737.0,49.0,5606839.631578947,15407413.796719145,106484698.0,60201820.0,0.0,5604457.7894736845,15424230.269390954,8,9,0,0,0,0,0,17,40,0,0,1.0,248.0,64240,63952,60144185.0,29538.0,15151310.42857143,22353050.932174694,60158508.0,34468.0,13269184.75,21498566.317621645,0,0,4928.0,4.0,0,2.464E+9,109.2,386.8,0,20,20,2184,7736
24.144.84.186,192.168.57.138,5122,59615,6,2024-03-20 16:06:41,120409739.0,9.882921513516443,0.07474478455600672,0.04152488030889262,0.033219904247114095,5,4,654,536,182,54,130.8,62.70693741524936,214,54,134.0,80.0,214,54,132.22222222222223,70.93311055381334,5031.506172839506,100,80,20,3,15051217.375,60169969.0,136.0,26039011.7950817,120409739.0,60169969.0,49004.0,30102434.75,30049664.025848627,60234316.0,60218819.0,136.0,20078105.333333332,28383771.515922572,3,2,0,0,0,0,0,5,9,0,0,0.8,132.22222222222223,64240,63472,60121262.0,25678.0,30073470.0,30047792.0,60154608.0,41039.0,40093721.0,28321537.093067046,0,0,0,0,0,0,130.8,134.0,0,5,4,654,536
69.192.139.77,192.168.57.138,443,59657,6,2024-03-20 16:06:18,4209.0,58683.77286766453,950.344499881207,475.1722499406035,475.1722499406035,2,2,139,108,85,54,69.5,15.5,54,54,54.0,0.0,85,54,61.75,13.423393758658799,180.1875,40,40,20,1,1403.0,3748.0,211.0,1658.2418400221363,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,4,0,0,1.0,61.75,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,54.0,0,2,2,139,108
23.215.10.56,192.168.57.138,443,59653,6,2024-03-20 16:06:23,2167.0,113982.46423627133,1845.8698661744347,922.9349330872174,922.9349330872174,2,2,139,108,85,54,69.5,15.5,54,54,54.0,0.0,85,54,61.75,13.423393758658799,180.1875,40,40,20,1,722.3333333333334,1749.0,161.0,727.0200975366652,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,4,0,0,1.0,61.75,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,54.0,0,2,2,139,108
13.107.3.254,192.168.57.138,443,59666,6,2024-03-20 16:06:25,0.0,0,0,0,0,1,0,54,0,54,54,54.0,0.0,0,0,0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,54.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,1,0,54,0
204.79.197.222,192.168.57.138,443,59662,6,2024-03-20 16:06:25,0.0,0,0,0,0,1,0,54,0,54,54,54.0,0.0,0,0,0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,54.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,1,0,54,0
13.107.136.254,192.168.57.138,443,59664,6,2024-03-20 16:06:27,0.0,0,0,0,0,1,0,54,0,54,54,54.0,0.0,0,0,0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,54.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,1,0,54,0
192.168.57.138,192.168.57.2,61975,53,17,2024-03-20 16:06:27,18616.0,9024.49505801461,107.43446497636441,53.717232488182205,53.717232488182205,1,1,76,92,76,76,76.0,0.0,92,92,92.0,0.0,92,76,84.0,8.0,64.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,92.0,0,1,1,76,92
51.105.71.137,192.168.57.138,443,59661,6,2024-03-20 16:06:27,0.0,0,0,0,0,1,0,54,0,54,54,54.0,0.0,0,0,0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,54.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,1,0,54,0
13.107.6.254,192.168.57.138,443,59665,6,2024-03-20 16:06:28,0.0,0,0,0,0,1,0,54,0,54,54,54.0,0.0,0,0,0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,54.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,1,0,54,0
192.168.57.138,52.142.223.178,59678,80,6,2024-03-20 16:06:30,0.0,0,0,0,0,1,0,54,0,54,54,54.0,0.0,0,0,0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,1,0,54,0
192.168.57.138,23.44.73.221,59679,80,6,2024-03-20 16:06:30,42968.0,71820.88996462483,325.8238689257122,162.9119344628561,162.9119344628561,7,7,2408,678,1514,54,344.0,493.9207570913722,350,54,96.85714285714286,103.35435379789082,1514,54,220.42857142857142,377.61066765457065,142589.8163265306,140,140,20,3,3305.230769230769,22375.0,0.0,7526.644273756308,42968.0,22629.0,0.0,7161.333333333333,9985.761557782605,20532.0,19433.0,31.0,3422.0,7162.52348454556,2,2,0,0,2,2,0,4,13,0,0,1.0,220.42857142857142,64240,64239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.0,96.85714285714286,0,7,7,2408,678
192.168.57.138,23.44.73.221,59681,80,6,2024-03-20 16:06:35,37380.0,82557.51738897807,347.7795612627074,187.26591760299627,160.51364365971108,7,6,2462,624,1514,54,351.7142857142857,493.06322813486656,350,54,104.0,110.02423975348948,1514,54,237.3846153846154,389.5420464046978,151743.00591715975,140,120,20,3,3115.0,20036.0,0.0,6764.850158478505,37305.0,20485.0,0.0,6217.5,8762.310288008142,21133.0,20036.0,20.0,4226.6,7908.324970561086,2,1,0,0,2,2,0,3,12,0,0,0.8571428571428571,237.3846153846154,64240,64239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.7142857142857,104.0,0,7,6,2462,624
192.168.57.138,239.255.255.250,61976,1900,17,2024-03-20 16:06:35,3027952.0,286.66240415964324,1.3210249039614894,1.3210249039614894,0.0,4,0,868,0,217,217,217.0,0.0,0,0,0,0.0,217,217,217.0,0.0,0.0,32,0,8,4,1009317.3333333334,1014557.0,1001006.0,5943.273639632921,3027952.0,1014556.9999999999,1001006.0000000001,1009317.3333333334,5943.273639632834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0,0,0,0,1012389.0,13551.0,512970.0,499419.0,0,0,0,0,0,0,217.0,0,0,4,0,868,0
192.168.57.1,224.0.0.251,5353,5353,17,2024-03-20 16:08:24,114398564.0,11.21517574294027,0.11363779006876346,0.11363779006876346,0.0,13,0,1283,0,143,79,98.6923076923077,21.832877872901175,0,0,0,0.0,143,79,98.6923076923077,21.832877872901175,476.67455621301775,104,0,8,13,9533213.666666666,38835194.0,2198004.0,11244600.597339168,114398564.0,38835194.0,2198004.0,9533213.666666666,11244600.597339168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,98.6923076923077,0,0,36637190.0,2053227.9999999998,20781479.333333332,14264202.847585544,34256917.0,1144234.0,9040076.875,11733101.530636096,0,0,0,0,0,0,98.6923076923077,0,0,13,0,1283,0
192.168.57.2,224.0.0.251,5353,5353,17,2024-03-20 16:08:24,114643599.0,84.36580920667015,0.1308402748242403,0.1308402748242403,0.0,15,0,9672,0,1099,360,644.8,263.978332444161,0,0,0,0.0,1099,360,644.8,263.978332444161,69684.56,120,0,8,15,8188828.5,38134615.0,18.0,12000271.02012396,114643599.0,38134615.0,18.0,8188828.5,12000271.02012396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,644.8,0,0,38128160.0,34450741.0,36289450.5,1838709.5,32694386.0,555828.0,11775714.57142857,11529026.887751032,0,0,0,0,0,0,644.8,0,0,15,0,9672,0
24.144.84.186,192.168.57.138,5122,59616,6,2024-03-20 16:08:38,121607151.0,101.47429570157432,0.3782672287092722,0.1891336143546361,0.1891336143546361,23,23,1946,10394,198,54,84.6086956521739,58.15252742680034,1514,54,451.9130434782609,448.9676964310052,1514,54,268.2608695652174,369.05958248679957,136204.9754253308,460,460,20,5,2702381.1333333333,60169660.0,0.0,9559692.702165369,117076313.0,60169660.0,20.0,5321650.590909091,13138287.031667626,121562031.0,60219461.0,0.0,5525546.863636363,13105943.21701985,5,17,0,0,0,0,0,22,46,0,0,1.0,268.2608695652174,64240,63248,60120076.0,766.0,11702234.125,20027344.48803272,60107328.0,9008.0,8932422.272727273,17700915.563127697,0,0,0,0,0,0,84.6086956521739,451.9130434782609,0,23,23,1946,10394
192.168.57.1,192.168.57.255,57621,57621,17,2024-03-20 16:08:53,96499962.0,5.347152364681761,0.06217619028699722,0.06217619028699722,0.0,6,0,516,0,86,86,86.0,0.0,0,0,0,0.0,86,86,86.0,0.0,0.0,48,0,8,6,19299992.4,30018851.0,3018567.0,13117837.738432467,96499962.0,30018851.0,3018567.0,19299992.4,13117837.738432467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,0,0,0,0,0,0,30001082.0,8548.0,19000455.333333332,13485385.891286643,0,0,0,0,0,0,86.0,0,0,6,0,516,0
