src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.57.139,192.229.211.108,40028,80,6,2024-04-14 23:31:43,115985987.0,24.235686333384397,0.2500302040797394,0.1293259676274514,0.12070423645228799,15,14,1318,1493,478,60,87.86666666666666,104.26751917810047,791,54,106.64285714285714,189.80652071549716,791,54,96.93103448275862,151.99816946140996,23103.4435196195,300,280,20,15,4142356.6785714286,10242726.0,53.0,4918772.482416726,115985880.0,10242845.0,14867.0,8284705.714285715,3751264.64971941,115985868.0,11126878.0,14667.0,8921989.846153846,3325660.298311134,1,1,0,0,0,0,0,2,29,0,0,0.9333333333333333,96.93103448275862,63503,64240,10228059.0,9079422.0,9653740.5,574318.5,10242726.0,9217305.0,9849472.666666666,451428.91711714206,0,0,0,0,0,0,87.86666666666666,106.64285714285714,0,15,14,1318,1493
34.219.148.252,192.168.57.139,9573,56860,6,2024-04-14 23:31:44,120065452.0,27.62659819912226,0.32482283080065366,0.21654855386710242,0.10827427693355121,26,13,2117,1200,142,54,81.42307692307692,26.58248856342935,95,60,92.3076923076923,9.326427425370877,142,54,85.05128205128206,22.94357484267595,526.4076265614727,520,260,20,14,3159617.1578947366,10006173.0,94.0,4551089.8246190585,120065452.0,10006173.0,525.0,4802618.08,4859805.917735348,112274790.0,10007000.0,2215047.0,9356232.5,2153148.592341206,14,12,0,0,0,0,0,26,39,0,0,0.5,85.05128205128206,64240,62780,10003696.0,9962563.0,9983129.5,20566.5,10004943.0,7749212.0,9252152.333333334,1062739.8483449381,0,0,0,0,0,0,81.42307692307692,92.3076923076923,0,26,13,2117,1200
192.168.57.139,34.107.221.82,54952,80,6,2024-04-14 23:31:49,113647793.0,20.475540602887026,0.2639734499727593,0.14078583998547162,0.12318760998728766,16,14,1269,1058,355,60,79.3125,71.26247149622303,352,54,75.57142857142857,76.67437110060618,355,54,77.56666666666666,73.86098804887162,5455.445555555556,320,280,20,15,3918889.4137931033,10242276.0,73.0,4941195.457146255,113647714.0,10242397.0,289.0,7576514.266666667,4415117.60188228,113632656.0,11203811.0,696.0,8740973.538461538,3731998.8708181907,1,1,0,0,0,2,0,2,29,0,0,0.875,77.56666666666666,64240,64240,9153691.0,2274.0,4577982.5,4575708.5,10161154.0,15137.0,6464273.0,4576504.920412593,0,0,0,0,0,0,79.3125,75.57142857142857,0,16,14,1269,1058
192.168.57.139,34.107.221.82,54968,80,6,2024-04-14 23:31:49,113610477.0,19.77810549990033,0.26406015353672,0.14083208188625068,0.12322807165046934,16,14,1271,976,357,60,79.4375,71.74605280954486,270,54,69.71428571428571,55.55875727735532,357,54,74.9,64.87955507451223,4209.356666666666,320,280,20,15,3917602.6551724137,10242004.0,58.0,4939661.763254048,113610411.0,10242144.0,276.0,7574027.4,4413891.198299384,113595151.0,11167995.0,676.0,8738088.538461538,3730497.5170960487,1,1,0,0,0,2,0,2,29,0,0,0.875,74.9,64240,64240,9117861.0,410.0,4559135.5,4558725.5,10127039.0,15326.0,6452949.0,4567239.934589161,0,0,0,0,0,0,79.4375,69.71428571428571,0,16,14,1271,976
192.168.57.139,34.107.243.93,57776,443,6,2024-04-14 23:31:49,112374183.0,9.851017114847455,0.14238145784784037,0.07119072892392019,0.07119072892392019,8,8,597,510,93,60,74.625,15.329200076977273,93,54,63.75,16.887495373796554,93,54,69.1875,17.019175765882437,289.65234375,160,160,20,8,7491612.2,58190750.0,6.0,19103686.12919659,112374183.0,58190750.0,57.0,16053454.714285715,25388783.678727407,112373211.0,58191252.0,111.0,16053315.857142856,25389176.08748973,4,3,0,0,2,0,0,7,16,0,0,1.0,69.1875,62780,64239,58170977.0,54125135.0,56148056.0,2022921.0,58177384.0,11098.0,28077799.5,28102396.558268458,0,0,0,0,0,0,74.625,63.75,0,8,8,597,510
192.168.57.139,34.149.100.209,36364,443,6,2024-04-14 23:31:49,112375381.0,9.850912096128955,0.14237993996211679,0.07118996998105839,0.07118996998105839,8,8,597,510,93,60,74.625,15.329200076977273,93,54,63.75,16.887495373796554,93,54,69.1875,17.019175765882437,289.65234375,160,160,20,8,7491692.066666666,58142546.0,7.0,19093754.793895565,112375381.0,58142546.0,134.0,16053625.857142856,25372716.54429549,112374247.0,58186698.0,157.0,16053463.857142856,25387436.54680894,4,3,0,0,2,0,0,7,16,0,0,1.0,69.1875,62780,64239,58122108.0,54127259.0,56124683.5,1997424.5,58098626.0,17224.0,22453567.6,27503894.880931735,0,0,0,0,0,0,74.625,63.75,0,8,8,597,510
192.168.57.139,34.98.75.36,57454,443,6,2024-04-14 23:31:49,112375087.0,9.850937868461896,0.14238031246196056,0.07119015623098028,0.07119015623098028,8,8,597,510,93,60,74.625,15.329200076977273,93,54,63.75,16.887495373796554,93,54,69.1875,17.019175765882437,289.65234375,160,160,20,8,7491672.466666667,58142740.0,12.0,19093647.465032,112375087.0,58142740.0,61.0,16053583.857142856,25372557.71126281,112374232.0,58185548.0,86.0,16053461.714285715,25386793.338030025,4,3,0,0,2,0,0,7,16,0,0,1.0,69.1875,62780,64239,58121427.0,54123629.0,56122528.0,1998899.0,58100091.0,11630.0,22452149.4,27505005.347647376,0,0,0,0,0,0,74.625,63.75,0,8,8,597,510
192.168.57.139,34.117.188.166,35078,443,6,2024-04-14 23:31:49,111373111.0,9.939562521513833,0.14366124692341584,0.07183062346170792,0.07183062346170792,8,8,597,510,93,60,74.625,15.329200076977273,93,54,63.75,16.887495373796554,93,54,69.1875,17.019175765882437,289.65234375,160,160,20,8,7424874.066666666,58142963.0,79.0,18932211.254374783,111373111.0,58142963.0,189.0,15910444.42857143,25160532.264907043,111372475.0,58185637.0,209.0,15910353.57142857,25174773.325130135,4,3,0,0,2,0,0,7,16,0,0,1.0,69.1875,62780,64239,0,0,0,0,58100447.0,19329.0,27813426.0,27848101.36699716,0,0,0,0,0,0,74.625,63.75,0,8,8,597,510
192.168.57.139,34.160.144.191,55274,443,6,2024-04-14 23:31:49,112374679.0,9.850973634371849,0.14238082940374852,0.07119041470187426,0.07119041470187426,8,8,597,510,93,60,74.625,15.329200076977273,93,54,63.75,16.887495373796554,93,54,69.1875,17.019175765882437,289.65234375,160,160,20,8,7491645.266666667,58185622.0,57.0,19102462.50850309,112374679.0,58185622.0,175.0,16053525.57142857,25386786.82592486,112373991.0,58186163.0,137.0,16053427.285714285,25387143.515572507,4,3,0,0,2,0,0,7,16,0,0,1.0,69.1875,62780,64239,58164854.0,54126452.0,56145653.0,2019201.0,58166678.0,15707.0,28077196.25,28096547.97696929,0,0,0,0,0,0,74.625,63.75,0,8,8,597,510
192.168.57.139,35.201.103.21,58782,443,6,2024-04-14 23:31:49,112377803.0,9.85069978632702,0.14237687134709334,0.07118843567354667,0.07118843567354667,8,8,597,510,93,60,74.625,15.329200076977273,93,54,63.75,16.887495373796554,93,54,69.1875,17.019175765882437,289.65234375,160,160,20,8,7491853.533333333,58185556.0,16.0,19102536.72295594,112377803.0,58185556.0,58.0,16053971.857142856,25386755.962126423,112377359.0,58186185.0,74.0,16053908.42857143,25387113.347492963,4,3,0,0,2,0,0,7,16,0,0,1.0,69.1875,62780,64239,58165639.0,54125059.0,56145349.0,2020290.0,58166753.0,14730.0,28077372.25,28097251.843034606,0,0,0,0,0,0,74.625,63.75,0,8,8,597,510
192.168.57.139,34.149.100.209,36350,443,6,2024-04-14 23:31:50,111372971.0,9.939575015916564,0.14366142751098918,0.07183071375549459,0.07183071375549459,8,8,597,510,93,60,74.625,15.329200076977273,93,54,63.75,16.887495373796554,93,54,69.1875,17.019175765882437,289.65234375,160,160,20,8,7424864.733333333,58148254.0,24.0,18933553.64023205,111372971.0,58148254.0,172.0,15910424.42857143,25162702.404245406,111372381.0,58189708.0,140.0,15910340.142857144,25176546.64166506,4,3,0,0,2,0,0,7,16,0,0,1.0,69.1875,62780,64239,58132766.0,53127758.0,55630262.0,2502504.0,58106955.0,13462.0,22255438.0,27280580.191776518,0,0,0,0,0,0,74.625,63.75,0,8,8,597,510
192.168.57.139,146.190.174.24,39028,443,6,2024-04-14 23:31:57,103550786.0,4079.7082892253466,7.580821260014385,3.157870766910451,4.422950493103935,327,458,210524,211933,1514,60,643.8042813455658,627.4040674357165,1514,54,462.735807860262,618.5380408121807,1514,54,538.1617834394905,628.6167794091891,395159.05535478116,6540,9160,20,326,132080.08418367346,3973539.0,0.0,584913.748043848,103550735.0,3973653.0,0.0,317640.29141104297,874030.4073819068,103531185.0,3973799.0,1.0,226545.2625820569,753225.7954996002,152,119,0,0,0,2,0,271,784,0,0,1.400611620795107,538.1617834394905,64240,64240,3970692.0,19641.0,2152862.847826087,1155289.945786996,3934255.0,8729.0,2014642.9,1221088.2608715761,4148.897435897436,4.641025641025641,4773.714285714285,4.428571428571429,19665410.79241614000972289742,18151004.88864747419880499728,643.8042813455658,462.735807860262,0,327,458,210524,211933
192.168.57.139,34.120.208.123,36944,443,6,2024-04-14 23:31:47,117228728.0,553.2602895768007,0.9639275451321113,0.4691682741793462,0.49475927095276506,55,58,60670,4188,1514,60,1103.090909090909,596.4748953865923,404,54,72.20689655172414,65.37392673891604,1514,54,573.9646017699115,663.9692647914309,440855.1845876732,1100,1160,20,55,1046685.0714285715,58996689.0,0.0,7749852.014084956,117228728.0,58996689.0,0.0,2170902.3703703703,11051188.708768047,117228409.0,58997110.0,46.0,2056638.754385965,10771303.121831924,20,6,0,0,0,0,0,26,113,0,0,1.0545454545454545,573.9646017699115,63000,64240,58026303.0,66086.0,29046194.5,28980108.5,58981398.0,5086.0,23417815.6,28638745.724886302,28763.0,24.0,0,0,23576229.50819672131147540984,0,1103.090909090909,72.20689655172414,0,55,58,60670,4188
192.168.57.139,23.67.33.222,32928,443,6,2024-04-14 23:31:51,120941752.0,329.10057396886396,0.7689652122783868,0.2976639531400207,0.47130125913836607,36,57,4512,35290,165,60,125.33333333333333,48.89160345998982,1514,54,619.1228070175439,656.2780505664338,1514,54,427.97849462365593,568.1128158918169,322752.1715805295,720,1140,20,36,1314584.2608695652,58942136.0,2.0,8530042.556939254,117941026.0,58942136.0,361.0,3369743.6,13571634.326522928,120941549.0,58986571.0,2.0,2159670.5178571427,10853896.742477734,24,18,0,0,0,0,0,42,93,0,0,1.5833333333333333,427.97849462365593,62780,64240,58926251.0,2353.0,16816126.85714286,26351381.90996145,58897859.0,5012.0,9285662.615384616,20984000.980822958,439.0,4.0,5852.666666666667,4.666666666666667,254198.0312680949623624782860,4.3895E+8,125.33333333333333,619.1228070175439,0,36,57,4512,35290
192.168.57.139,34.120.115.102,52072,443,6,2024-04-14 23:31:52,112297017.0,9.857786338171387,0.14247929666733714,0.07123964833366857,0.07123964833366857,8,8,597,510,93,60,74.625,15.329200076977273,93,54,63.75,16.887495373796554,93,54,69.1875,17.019175765882437,289.65234375,160,160,20,8,7486467.8,58121000.0,49.0,19092168.176162276,112297017.0,58121000.0,70.0,16042431.0,25373929.781094722,112296302.0,58121548.0,84.0,16042328.857142856,25374321.05120596,4,3,0,0,2,0,0,7,16,0,0,1.0,69.1875,62780,64239,58109788.0,54131407.0,56120597.5,1989190.5,58106672.0,14048.0,28064066.75,28085248.393977266,0,0,0,0,0,0,74.625,63.75,0,8,8,597,510
192.168.57.139,142.251.46.234,50960,443,6,2024-04-14 23:31:55,111295977.0,9.9464511641782,0.14376081176770658,0.07188040588385329,0.07188040588385329,8,8,597,510,93,60,74.625,15.329200076977273,93,54,63.75,16.887495373796554,93,54,69.1875,17.019175765882437,289.65234375,160,160,20,8,7419731.8,58080404.0,48.0,18921640.00849103,111295977.0,58080404.0,145.0,15899425.285714285,25147201.64133341,111295483.0,58124023.0,228.0,15899354.714285715,25161770.854271617,4,3,0,0,2,0,0,7,16,0,0,1.0,69.1875,62780,64239,0,0,0,0,58036986.0,12298.0,27800160.5,27832790.25507954,0,0,0,0,0,0,74.625,63.75,0,8,8,597,510
